asset_symbol,timestamp,open_price,high_price,low_price,close_price,volume
NIFTY 50,2025-10-15 15:30:00,25649.67,25656.58,25617.29,25710.59,278829233
NIFTY 50,2025-10-16 15:30:00,25576.59,25655.55,25538.22,25557.81,282712800
NIFTY 50,2025-10-17 15:30:00,25553.66,25576.95,25541.56,25477.13,271375410
NIFTY 50,2025-10-18 15:30:00,25543.77,25594.41,25528.06,25507.45,272938481
NIFTY 50,2025-10-19 15:30:00,25746.56,25757.85,25743.18,25689.57,277278086
NIFTY 50,2025-10-20 15:30:00,25611.09,25668.64,25592.31,25587.06,278541531
NIFTY 50,2025-10-21 15:30:00,25539.83,25632.44,25539.16,25497.52,284112724
NIFTY 50,2025-10-22 15:30:00,25477.92,25488.36,25379.94,25424.79,280984306
NIFTY 50,2025-10-23 15:30:00,25673.85,25682.42,25668.07,25661.81,272607390
NIFTY 50,2025-10-24 15:30:00,25528.02,25551.05,25475.16,25541.76,271184799
NIFTY 50,2025-10-25 15:30:00,25632.41,25651.66,25598.56,25656.88,285154997
NIFTY 50,2025-10-26 15:30:00,25693.13,25735.09,25677.67,25706.38,284877725
NIFTY 50,2025-10-27 15:30:00,25552.08,25561.36,25496.76,25504.23,284062629
NIFTY 50,2025-10-28 15:30:00,25735.62,25739.22,25685.44,25750.09,276774401
NIFTY 50,2025-10-29 15:30:00,25636.14,25713.04,25634.35,25698.73,266901274
NIFTY 50,2025-10-30 15:30:00,25682.19,25686.54,25667.24,25685.86,270062155
NIFTY 50,2025-10-31 15:30:00,25578.03,25595.89,25504.14,25557.3,275957531
NIFTY 50,2025-11-01 15:30:00,25549.82,25595.59,25533.38,25528.63,282566337
NIFTY 50,2025-11-02 15:30:00,25609.71,25658.14,25574.61,25596.6,278039459
NIFTY 50,2025-11-03 15:30:00,25453.65,25468.46,25440.6,25453.85,278827064
NIFTY 50,2025-11-04 15:30:00,25458.46,25479.49,25441.32,25426.37,279193571
NIFTY 50,2025-11-05 15:30:00,25640.41,25734.72,25631.68,25650.71,279627770
NIFTY 50,2025-11-06 15:30:00,25408.12,25409.45,25405.11,25506.65,279038195
NIFTY 50,2025-11-07 15:30:00,25630.15,25631.89,25571.72,25675.86,283759665
NIFTY 50,2025-11-08 15:30:00,25679.1,25724.57,25608.96,25623.03,282934285
NIFTY 50,2025-11-09 15:30:00,25819.05,25868.58,25790.74,25823.04,277482621
NIFTY 50,2025-11-10 15:30:00,25444.93,25448.36,25391.81,25463.87,275402878
NIFTY 50,2025-11-11 15:30:00,25754.99,25794.15,25738.89,25787.53,273845678
NIFTY 50,2025-11-12 15:30:00,25622.75,25688.11,25542.38,25630.14,281299413
NIFTY 50,2025-11-13 15:30:00,25678.18,25740.03,25612.16,25699.06,281484923
